Channel Id,Channel Url,Channel Title,Description
UCfsvdC4UyhOfgGc1oISg-3g,https://www.youtube.com/channel/UCfsvdC4UyhOfgGc1oISg-3g,Goombanna,"Asking both profoundly ridiculous and ridiculously profound questions about gaming with theories, an"
UCo8bcnLyZH8tBIH9V1mLgqQ,https://www.youtube.com/channel/UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,"What I use:
I have a Wacom Cintiq Pro 24

a Smudge Guard Glove. 
https://amzn.to/2zvvUzj

I record o"
UCs0AqQc_0sxwqJROHuJeEpg,https://www.youtube.com/channel/UCs0AqQc_0sxwqJROHuJeEpg,DazzReviews,Welcome! I'm DazzReviews! Join me for some analytical coverage of movies of all kinds! Be it reviews
UCIY_SL2BHmdKkzT90oTekVg,https://www.youtube.com/channel/UCIY_SL2BHmdKkzT90oTekVg,TerminalMontage Clips,The Official TerminalMontage Clip channel!
UCBC9V-25cmvAzniaPZYMSrw,https://www.youtube.com/channel/UCBC9V-25cmvAzniaPZYMSrw,Captain Kidd,Subscribe for the best nuzlocke content on YouTube
UCPn8cnHhLHMQrGCmS0K5aBQ,https://www.youtube.com/channel/UCPn8cnHhLHMQrGCmS0K5aBQ,The Dragon Prince,Emmy® Award-winning fantasy series set in the magical world of Xadia.  Following an extraordinary di
UCP8lPMdnsqGTOHrMv8273WA,https://www.youtube.com/channel/UCP8lPMdnsqGTOHrMv8273WA,TheAvatarist,"Avatar: The Last Airbender & Avatar expanded universe content




general inquires:
theavataristbusi"
UCudx6plmpbs5WtWvsvu-EdQ,https://www.youtube.com/channel/UCudx6plmpbs5WtWvsvu-EdQ,Zeltik,"Legend of Zelda YouTuber.
-
https://bsky.app/profile/zeltik.co.uk
http://tiktok.com/@realzeltik

Int"
UCC0aCrsMnk074Tg5JhDj8Qg,https://www.youtube.com/channel/UCC0aCrsMnk074Tg5JhDj8Qg,Chikn Nuggit,A short-form animated series by Kyra Kupetsky about an adorable group of animal pals named after fas
UC2hm5rD_IrfYRMfq5YQudgA,https://www.youtube.com/channel/UC2hm5rD_IrfYRMfq5YQudgA,Haminations,College dropout who tells silly little stories about his silly little life on his silly little YouTu
UC7L0YdEy-Y12TutglcHb11w,https://www.youtube.com/channel/UC7L0YdEy-Y12TutglcHb11w,Pheonix SC,"You misspelled it, didnt you?"
UCV9yZMAU-IMQJI66Xn5FfWQ,https://www.youtube.com/channel/UCV9yZMAU-IMQJI66Xn5FfWQ,TannerFishies,"Hey guys! Tanner here, and I make Ninjago videos for people on the Internet! Hope you can find somet"
